river_name,reach_id,node_id,lat,lon,width_m,max_width,n_chan_mod,dist_out
Sagavanirktok River,81390500021,81390500020091,70.17863669977636,-148.0862093556632,149.0,2064.0,2,84227.0
Sagavanirktok River,81390500021,81390500020101,70.1781416509965,-148.09094020920722,184.5,2064.0,3,84416.0
Sagavanirktok River,81390500021,81390500020111,70.1773347878436,-148.0953107606678,127.0,2064.0,2,84615.0
Sagavanirktok River,81390500021,81390500020121,70.17581851450299,-148.0983484533953,172.0,2064.0,3,84832.0
Sagavanirktok River,81390500021,81390500020131,70.17432174194728,-148.10112252953465,154.0,2064.0,3,85007.0
Sagavanirktok River,81390500021,81390500020141,70.1728244367831,-148.10397542292733,207.0,2064.0,3,85224.0
Sagavanirktok River,81390500021,81390500020151,70.17119635581696,-148.1062133036733,163.0,2064.0,3,85419.0
Sagavanirktok River,81390500021,81390500020161,70.16956857060187,-148.10839800161034,174.5,2064.0,2,85621.0
Sagavanirktok River,81390500021,81390500020171,70.16794206806021,-148.1103711233088,182.5,2064.0,2,85818.0
Sagavanirktok River,81390500021,81390500020181,70.16647826711434,-148.1130024210376,148.0,2064.0,2,86007.0
Sagavanirktok River,81390500021,81390500020191,70.16552561409505,-148.1176100719292,155.0,2064.0,2,86232.0
Sagavanirktok River,81390500021,81390500020201,70.16469887811047,-148.12222413579335,105.0,2064.0,2,86416.0
Sagavanirktok River,81390500021,81390500020211,70.16327512499454,-148.12530531476114,236.5,2064.0,2,86623.0
Sagavanirktok River,81390500021,81390500020221,70.1616447847274,-148.1278572431014,198.0,2064.0,2,86825.0
Sagavanirktok River,81390500021,81390500020231,70.16030773156554,-148.13082614774845,190.0,2064.0,2,87013.0
Sagavanirktok River,81390500021,81390500020241,70.15920457611055,-148.13509068329546,109.0,2064.0,2,87224.0
Sagavanirktok River,81390500021,81390500020251,70.15828401331474,-148.13939651268828,90.0,2064.0,2,87404.0
Sagavanirktok River,81390500021,81390500020261,70.15697521248138,-148.14296768344298,129.0,129.0,1,87621.0
Sagavanirktok River,81390500021,81390500020271,70.15534445406145,-148.14554383968803,129.0,129.0,1,87817.0
Sagavanirktok River,81390500021,81390500020281,70.15372665987321,-148.1460878124055,67.0,67.0,1,88003.0
Sagavanirktok River,81390500021,81390500020291,70.15198534681774,-148.1449092237806,94.0,94.0,1,88218.0
Sagavanirktok River,81390500021,81390500020301,70.15024352050531,-148.14380997712234,90.5,90.5,1,88408.0
Sagavanirktok River,81390500021,81390500020311,70.14847687226163,-148.1453937237682,127.0,127.0,1,88622.0
Sagavanirktok River,81390500021,81390500020321,70.14717494064439,-148.14823189925423,84.0,84.0,1,88811.0
Sagavanirktok River,81390500021,81390500020331,70.14562496364499,-148.1507845333572,101.0,101.0,1,89010.0
Sagavanirktok River,81390500021,81390500020341,70.14399544823448,-148.15314765904222,71.0,71.0,1,89227.0
Sagavanirktok River,81390500021,81390500020351,70.14279481469147,-148.15714369286982,140.0,140.0,1,89419.0
Sagavanirktok River,81390500021,81390500020361,70.14236962459178,-148.16186867013116,73.5,73.5,1,89616.0
Sagavanirktok River,81390500021,81390500020371,70.14168431898139,-148.16657881021735,80.0,80.0,1,89803.0
Sagavanirktok River,81390500021,81390500020381,70.14126525725804,-148.17169941000066,80.0,80.0,1,90017.0
Sagavanirktok River,81390500021,81390500020391,70.14053435246304,-148.17648552309808,69.0,69.0,1,90222.0
Sagavanirktok River,81390500021,81390500020401,70.13926550892641,-148.17918314576616,90.0,90.0,1,90410.0
Sagavanirktok River,81390500021,81390500020411,70.13797062349056,-148.18290761416577,148.0,2064.0,2,90631.0
Sagavanirktok River,81390500021,81390500020421,70.13638061874609,-148.18620330299305,164.0,2064.0,2,90798.0
Sagavanirktok River,81390500021,81390500020431,70.13475413235275,-148.1880360982092,115.0,2064.0,2,91019.0
Sagavanirktok River,81390500021,81390500020441,70.13299760743678,-148.1891898406689,149.5,2064.0,2,91203.0
Sagavanirktok River,81390500021,81390500020451,70.1313763518928,-148.19023060816974,124.0,2064.0,2,91402.0
Sagavanirktok River,81390500021,81390500020461,70.12987802090923,-148.1930131767332,148.0,2064.0,2,91595.0
Sagavanirktok River,81390500021,81390500020471,70.12837817024808,-148.19601672291728,175.0,2064.0,3,91815.0
